timestamp,NIR_proxy_broad
21.8223,48.79
21.8545,48.76
21.8883,48.74
21.9214,48.70
21.9595,48.63
21.9844,48.58
22.0234,48.60
22.0582,48.62
22.0964,48.60
22.1327,48.62
22.1686,48.62
22.2300,48.61
22.2660,48.59
22.3026,48.61
22.3384,48.60
22.3707,48.55
22.4318,48.49
22.4662,48.44
22.5022,48.40
22.5360,48.36
22.5713,48.39
22.6299,48.25
22.6696,48.21
22.7052,48.21
22.7376,48.22
22.7719,48.21
22.8368,48.17
22.8691,48.15
22.9032,48.19
22.9360,48.21
22.9699,48.23
23.0332,48.24
23.0696,48.23
23.1049,48.20
23.1397,48.15
23.1713,48.16
23.2376,48.13
23.2709,48.09
23.3053,48.00
23.3397,48.01
23.3723,48.02
23.4346,48.06
23.4704,48.04
23.5036,48.06
23.5364,48.00
23.5720,48.01
23.6329,48.07
23.6690,48.09
23.7057,48.07
23.7423,48.07
23.7744,48.06
23.8351,48.05
23.8713,48.05
23.9071,48.04
23.9391,48.05
23.9724,48.08
24.0324,48.07
24.0694,48.08
24.1037,48.00
24.1397,48.00
24.1722,48.04
24.2365,48.06
24.2720,48.07
24.3068,48.09
24.3402,48.13
24.3719,48.13
24.4294,48.11
24.4671,48.10
24.5065,48.07
24.5386,48.08
24.5726,48.13
24.6352,48.05
24.6685,48.05
24.7359,48.09
24.7723,48.09
24.8374,48.08
24.8732,48.08
24.9058,48.07
24.9399,48.10
24.9729,48.16
25.0245,48.14
25.0626,48.13
25.0938,48.13
25.1330,48.08
25.1679,48.09
25.2283,48.01
25.2688,48.01
25.3065,48.02
25.3410,48.02
25.3731,48.01
25.4361,48.02
25.4723,48.01
25.5061,48.06
25.5387,48.08
25.5734,48.10
25.6336,48.15
25.6713,48.14
25.7071,48.09
25.7419,48.14
25.7732,48.14
25.8361,48.15
25.8861,48.13
25.9232,48.09
25.9587,48.06
25.9902,48.05
26.0261,48.03
26.0607,47.98
26.1001,47.95
26.1402,47.94
26.1723,47.94
26.2383,47.94
26.2745,47.91
26.3070,47.96
26.3423,47.98
26.3741,48.00
26.4369,48.01
26.4717,48.05
26.5082,48.06
26.5411,48.08
26.5733,48.13
26.6331,48.11
26.6653,48.07
26.6971,48.03
26.7328,48.02
26.7693,48.03
26.8300,48.04
26.8682,48.04
26.9064,48.04
26.9415,48.01
26.9738,48.04
27.0286,48.12
27.0641,48.15
27.1024,48.13
27.1434,48.18
27.1738,48.19
